Field;Rig;Wellbore;Section;Start time;End time
VOLVE;MÆRSK INSPIRER;NO 15/9-F-7;"36""";2007-09-16 05:00:00;2007-09-21 13:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-7;"17 1/2""";2007-09-21 13:45:00;2007-02-10 15:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9;"36""";2007-11-28 13:45:00;2007-01-12 04:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9;"17 1/2""";2007-12-12 21:00:00;2007-12-17 01:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11;"26""";2013-03-16 00:30:00;2013-03-20 09:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15;"36""";2007-11-19 04:45:00;2007-12-23 15:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15;"26""";2008-06-09 12:00:00;2008-10-09 17:14:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15;"26""";2008-09-18 21:30:00;2008-09-20 04:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-4;"12 1/4""";2008-04-02 21:00:00;2008-09-02 10:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-4;"36""";2007-09-06 22:30:00;2007-06-13 20:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-4;"17 1/2""";2007-10-13 05:00:00;2007-10-23 08:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;"36""";2007-11-15 21:30:00;2007-11-18 23:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;"17 1/2""";2007-12-18 02:30:00;2007-12-22 21:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;"17 1/2""";2008-10-07 18:00:00;2008-07-15 18:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;COMPL_XTINS;2008-08-21 19:30:00;2008-08-23 22:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;"12 1/4""";2008-05-22 05:15:00;2008-05-28 17:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;"26""";2007-05-12 07:00:00;2007-12-12 00:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;"8 1/2""";2008-10-06 23:00:00;2008-06-15 15:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-12;"36""";2007-06-14 12:30:00;2007-06-17 16:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-12;"17 1/2""";2007-07-21 13:30:00;2007-11-08 15:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;"36""";2007-06-11 22:45:00;2007-11-15 04:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;"26""";2008-10-05 01:00:00;2008-11-05 14:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;"17 1/2""";2008-11-05 14:00:00;2008-05-22 05:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-10;"36""";2009-06-04 12:00:00;2009-11-04 00:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-1;"36""";2007-01-12 10:45:00;2007-04-12 01:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-1;"26""";2013-07-23 02:30:00;2013-04-08 15:15:00
VOLVE;TREASURE PROSPECT;NO 15/9-19 ST2;"12 1/4""";1993-02-19 06:00:00;1993-02-25 17:00:00
VOLVE;TREASURE PROSPECT;NO 15/9-19 ST2;DST;1993-03-26 00:00:00;1993-04-25 10:30:00
VOLVE;TREASURE PROSPECT;NO 15/9-19 ST2;PERM P&A;1993-04-25 10:30:00;1993-04-29 09:00:00
VOLVE;TREASURE PROSPECT;NO 15/9-19 S;MOVE;1992-08-09 18:00:00;1992-09-15 01:00:00
VOLVE;TREASURE PROSPECT;NO 15/9-19 S;RE-ENT.;1992-11-17 18:00:00;1992-11-18 07:00:00
VOLVE;TREASURE PROSPECT;NO 15/9-19 S;"17 1/2""";1992-11-22 15:00:00;1992-11-29 16:30:00
VOLVE;TREASURE PROSPECT;NO 15/9-19 S;"12 1/4""";1992-11-29 16:30:00;1992-12-12 19:30:00
VOLVE;TREASURE PROSPECT;NO 15/9-19 ST2;MOVE_FROM;1993-01-29 16:00:00;1993-01-31 10:30:00
VOLVE;BYFORD DOLPHIN;NO 15/9-19 BT2;"8 1/2""";1997-05-12 15:00:00;1997-12-17 17:30:00
VOLVE;BYFORD DOLPHIN;NO 15/9-19 A;DST;1997-08-30 02:00:00;1997-03-11 20:00:00
VOLVE;BYFORD DOLPHIN;NO 15/9-19 A;PERM P&A;1997-03-11 20:00:00;1997-09-11 22:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 C;COMPL_LINER;2009-02-14 09:00:00;2009-02-16 11:45:00
VOLVE;BYFORD DOLPHIN;NO 15/9-19 BT2;"6""";1997-12-18 21:00:00;1998-01-18 18:00:00
VOLVE;TREASURE PROSPECT;NO 15/9-19 ST2;MOVE;1993-02-17 15:00:00;1993-02-19 06:00:00
VOLVE;TREASURE PROSPECT;NO 15/9-19 S;"26""";1992-09-21 19:00:00;1992-09-24 02:30:00
VOLVE;TREASURE PROSPECT;NO 15/9-19 ST2;TEMP P&A;1993-01-28 07:30:00;1993-01-29 16:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-99;STRUCTR;2007-05-16 17:30:00;2009-06-24 06:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-12;PRESPUD;2007-06-13 20:00:00;2007-06-14 12:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-12;"8 1/2""";2007-06-17 16:15:00;2007-05-07 14:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-7;MOVE;2015-04-02 03:30:00;2015-04-02 14:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-7;WO_REMEDIAL;2015-06-02 06:00:00;2015-07-02 00:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-7;COMPL_TBGRN;2015-07-02 00:15:00;2015-08-02 06:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-7;DST;2015-08-02 19:45:00;2015-09-02 02:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-7;WO_PULLTBG;2015-04-02 14:15:00;2015-06-02 06:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-4;COMPL_WPREP;2008-03-14 07:45:00;2008-03-17 16:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-4;PRESPUD;2007-09-06 12:00:00;2007-09-06 22:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-12;TIEBACK;2007-11-10 03:15:00;2008-02-01 22:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-12;COMPL_WPREP;2008-03-01 16:45:00;2008-01-16 05:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-12;COMPL_PERF;2008-01-16 05:00:00;2008-01-24 14:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-12;COMPL_THINS;2008-01-29 01:00:00;2008-02-02 23:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-12;COMPL_XTINS;2008-02-02 23:45:00;2008-04-02 21:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-12;COMPL_WPREP;2007-08-27 20:45:00;2007-08-30 23:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-12;COMPL_OTHER;2008-02-01 22:15:00;2008-03-01 16:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-12;"26""";2007-07-15 12:30:00;2007-07-21 13:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-12;"8 1/2""";2007-08-22 14:15:00;2007-08-26 01:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-12;COMPL_LINER;2007-08-26 01:00:00;2007-08-27 20:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-7;COMPL_SCRUN;2007-05-10 04:00:00;2007-08-10 12:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-4;"12 1/4""";2007-10-23 08:30:00;2007-05-11 11:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-4;"8 1/2""";2008-09-02 10:00:00;2008-02-28 03:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-4;COMPL_LINER;2008-02-28 03:45:00;2008-03-14 07:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-7;COMPL_TBGRN;2007-08-10 12:45:00;2007-11-10 05:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9;COMPL_WPREP;2008-08-31 01:45:00;2008-08-31 20:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9;COMPL_TBGRN;2008-04-09 07:00:00;2008-06-09 12:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;COMPL_OTHER;2008-05-28 17:45:00;2008-05-29 22:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-1;PRESPUD;2007-01-12 04:30:00;2007-01-12 10:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;COMPL_OTHER;2008-05-08 00:00:00;2008-05-08 21:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;COMPL_OTHER;2008-05-08 21:30:00;2008-11-08 07:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;COMPL_OTHER;2008-08-15 00:00:00;2008-08-15 10:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;COMPL_TBGRN;2008-08-15 10:30:00;2008-08-17 13:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;COMPL_XTINS;2008-08-19 03:15:00;2008-08-19 07:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;PRESPUD;2007-11-15 04:30:00;2007-11-15 21:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;"36""";2007-12-17 01:30:00;2007-12-18 02:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;"8 1/2""";2008-07-25 21:15:00;2008-07-30 18:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;COMPL_LINER;2008-07-30 18:45:00;2008-01-08 15:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15;PRESPUD;2007-11-18 23:45:00;2007-11-19 04:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 A;"8 1/2""";2008-12-24 10:00:00;2009-08-01 06:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 C;"12 1/4""";2009-01-18 22:00:00;2009-01-27 01:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 C;"8 1/2""";2009-11-02 07:45:00;2009-02-14 09:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-4;COMPL_OTHER;2008-03-19 21:00:00;2008-06-04 09:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-4;COMPL_OTHER;2008-06-04 09:00:00;2008-07-04 20:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;COMPL_WPREP;2008-02-08 01:15:00;2008-05-08 00:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-4;COMPL_TBGRN;2008-07-04 20:45:00;2008-11-04 03:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-4;COMPL_THINS;2008-11-04 03:30:00;2008-12-04 20:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-4;COMPL_XTINS;2008-12-04 20:30:00;2008-04-16 17:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-4;COMPL_PERF;2008-04-16 17:00:00;2008-04-22 10:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;"36""";2007-04-12 01:00:00;2007-05-12 07:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;"26""";2008-04-26 13:00:00;2008-04-30 19:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;"12 1/4""";2008-09-06 13:00:00;2008-10-06 23:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9;PRESPUD;2007-11-28 06:30:00;2007-11-28 13:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9;"12 1/4""";2008-08-30 07:30:00;2008-08-31 01:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;TIEBACK;2008-05-06 09:30:00;2008-09-06 05:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;COMPL_OTHER;2008-09-06 05:15:00;2008-09-06 13:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;COMPL_WPREP;2008-06-18 03:30:00;2008-06-22 01:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;COMPL_TBGRN;2008-06-22 01:15:00;2008-06-26 06:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;COMPL_THINS;2008-06-26 06:00:00;2008-06-28 08:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;COMPL_XTINS;2008-06-28 08:00:00;2008-03-07 02:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;TIEBACK;2008-11-08 07:00:00;2008-08-15 00:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9;PERM P&A;2009-06-24 06:00:00;2009-06-28 22:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;COMPL_LINER;2008-06-15 15:30:00;2008-06-18 03:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9 A;"8 1/2""";2009-07-07 22:30:00;2009-08-07 16:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9 A;COMPL_WPREP;2009-08-07 16:30:00;2009-09-07 08:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9 A;COMPL_SCRUN;2009-09-07 08:30:00;2009-11-07 20:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9 A;COMPL_TBGRN;2009-11-07 20:15:00;2009-07-14 21:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 A;PREP_LOC_STRACK;2009-08-01 06:00:00;2009-01-13 12:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 C;COMPL_OTHER;2009-01-27 01:30:00;2009-07-02 02:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15;"12 1/4""";2008-09-20 04:00:00;2008-11-13 06:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 C;COMPL_WPREP;2009-02-16 11:45:00;2009-02-18 23:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 C;COMPL_TBGRN;2009-02-18 23:15:00;2009-02-25 04:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 C;COMPL_THINS;2009-02-24 06:00:00;2009-02-27 06:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 C;COMPL_XTINS;2009-02-27 06:00:00;2009-04-03 23:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-7;COMPL_THINS;2015-08-02 06:30:00;2015-08-02 19:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 B;"8 1/2""";2009-01-13 12:15:00;2009-01-15 07:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-12;WIREL;2009-03-13 15:00:00;2009-03-17 16:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;WIREL;2009-06-03 18:30:00;2009-03-13 15:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;INTERVENTION;2016-04-18 06:00:00;2016-04-20 06:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11 B;INTERVENTION;2016-04-14 19:00:00;2016-04-18 06:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11;"36""";2013-07-03 19:00:00;2013-03-16 00:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-10;"26""";2009-11-04 00:30:00;2009-04-22 12:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-10;"17 1/2""";2009-04-22 12:45:00;2009-06-05 15:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-10;"12 1/4""";2009-06-05 15:30:00;2009-05-19 17:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-10;"8 1/2""";2009-05-19 17:00:00;2009-03-06 17:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-10;PERM P&A;2009-03-06 17:00:00;2009-06-15 19:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9 A;COMPL_THINS;2015-02-02 18:45:00;2015-03-02 13:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 C;COMPL_PERF;2009-04-03 23:30:00;2009-06-03 18:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;INTERVENTION;2012-01-27 15:00:00;2012-01-31 03:00:00
VOLVE;BYFORD DOLPHIN;NO 15/9-19 ST2;MOVE;1997-07-16 15:30:00;1997-07-20 21:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15;PREP_LOC_STRACK;2008-11-29 13:45:00;2008-11-12 15:00:00
VOLVE;TREASURE PROSPECT;NO 15/9-19 S;TEMP P&A;1992-09-24 02:30:00;1992-09-24 14:00:00
VOLVE;BYFORD DOLPHIN;NO 15/9-19 BT2;PERM P&A;1998-01-18 18:00:00;1998-01-02 12:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9 A;WO_PULLTBG;2015-01-26 15:30:00;2015-01-29 04:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9 A;WO_REMEDIAL;2015-01-29 04:00:00;2015-01-29 11:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9 A;WO_REMEDIAL;2015-01-29 11:15:00;2015-01-02 13:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9 A;COMPL_TBGRN;2015-01-02 13:30:00;2015-02-02 18:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9 A;DST;2015-03-02 13:15:00;2015-04-02 03:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;INTERVENTION;2015-02-11 18:00:00;2015-05-11 07:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-4;INTERVENTION;2012-11-09 07:00:00;2012-09-15 19:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;INTERVENTION;2012-09-15 19:00:00;2012-09-18 12:00:00
VOLVE;BYFORD DOLPHIN;NO 15/9-19 BT2;MOVE;1998-01-02 12:00:00;1998-04-02 00:00:00
